"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Linkki</a>"
"Done","Valmis"
"ETA: %s","Arvioitu aika: %s"
"Less than a minute","Alle yksi minuutti"
"Memory Used: %s","Muistia käytetty: %s"
"Processed records: %s","Prosessoidut tietueet: %s"
"Sheet 1","Liuska 1"
"Starting %s :: %s","Aloitetaan %s :: %s"
"Total records: %s","Tietueiden kokonaismäärä: %s"
"hour","tunti"
"hours","tunnit"
"minute","minuutti"
"minutes","minuuttia"
