"* Select shipping method","* Valitse toimitustapa"
"2Day","2 päivää"
"AVS Status: %s","Osoitteenvahvistuksen tila: %s"
"Amount: %s","Summa: %s"
"Auto-generated from GoogleCheckout Charge","Automaattisesti muodostettu GoogleCheckout-maksusta"
"CC Partial: xxxx-%s","Luottokortin tunnusosa: xxxx-%s"
"CID Status: %s","Asiakastunnisteen tila: %s"
"Cart Discount","Ostoskorin alennus"
"Checkout Image Style","Tarkista kuvan muoto"
"Continue Shopping URL","'Jatka ostamista'-osoite"
"Debug","Vianselvitys"
"Default price:","Oletushinta:"
"Enable","Käytä"
"Expiration: %s","Erääntyy: %s"
"Express Mail","Express pikaposti"
"Financial: %s -> %s","Varat: %s -> %s"
"First Overnight","Yön yli"
"Free Shipping","Ilmainen toimitus"
"Fulfillment: %s -> %s","Täyttyminen: %s -> %s"
"Google API","Google-API"
"Google Authorization:","Google-maksun varmenne:"
"Google Charge:","Google-maksu:"
"Google Checkout","Google-oston kassa"
"Google Checkout Shipping - Carrier Calculated","Google-oston toimitus - Toimittajan laskema"
"Google Checkout Shipping - Flat Rate","Google-oston toimitus - Kiinteä hinta"
"Google Checkout Shipping - Merchant Calculated","Google-oston toimitus - Myyjän laskema"
"Google Checkout: %s","Google Checkout (kassa): %s"
"Google Order Number: %s","Google-tilauksen numero: %s"
"Google Refund:","Google-tilauksen palautus:"
"Google Risk Information:","Google-ostojen riskit:"
"Ground","Pohjusta"
"Home Delivery","Kotiinkuljetus"
"IP Address: %s","IP-osoite: %s"
"Inches","Tuumaa"
"Latest Charge: %s","Viimeisin maksu: %s"
"Latest Refund: %s","Viimeisin palautus: %s"
"Location","Sijainti"
"Media Mail","Media-posti"
"Merchant ID","Kauppias-ID"
"Merchant Key","Myyjän avain"
"New Order Status","Uuden tilauksen tila"
"No","Ei"
"Optional, leave empty for home page.","Vapaaehtoinen, jätä tyhjäksi kotisivua varten."
"Parcel Post","Kollina"
"Priority Mail","1-luokka"
"Priority Overnight","Pikatoimitus"
"Sandbox","Testiympäristö"
"Standard Overnight","Standardi pikalähetys"
"Title","Otsikko"
"Total Charged: %s","Yhteensä laskutettu: %s"
"Total Refunded: %s","Yhteensä palautettu: %s"
"Yes","Kyllä"
