"--Please Select--","---Valitse---"
"API Login ID","API kirjautumis ID"
"Accepted Currency","Hyväksytty valuutta"
"Authorize.net Direct Post","Authorize.net suora viesti"
"Card Verification Number","Luottokortin tarkistenumero"
"Card Verification Number Visual Reference","Luottokortin tarkistustunnus"
"Close","Sulje"
"Credit Card Information","Luottokorttitiedot"
"Credit Card Number","Luottokortin numero"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortti varmennus"
"Debug","Vianselvitys"
"Email Customer","Lähettä asiakalle sähköposti"
"Enabled","Käytössä"
"Expiration Date","Viimeinen voimassaolopäivä"
"Gateway URL","Yhdyskäytävän URL"
"Maximum Order Total","Maksimitilausmäärä"
"Merchant MD5","Kauppias MD5"
"Merchant's Email","Myyjän sähköposti"
"Minimum Order Total","Vähimmäistilausmäärä"
"New Order Status","Uuden tilauksen tila"
"Order saving error: %s","Tilauksen tallentamisen virhe: %s"
"Payment Action","Maksutoiminto"
"Payment authorization error.","Virhe maksun varmentamisessa."
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Sort Order","Lajittelujärjestys"
"Test Mode","Testitila"
"There was an error processing your order. Please contact us or try again later.","Tilauksen lähetyksessä tapahtui virhe. Ole hyvä ja ota yhteyttä meihin tai yritä myöhemmin uudelleen."
"Title","Otsikko"
"Transaction Key","Maksutapahtuma-avain"
"What is this?","Mikä tämä on?"
