"Add Minimum Qty","Lisää vähimmäismäärä"
"Allow Qty Below 0","Salli määrät alle 0"
"Allow Qty Below 0 and Notify Customer","Salli määrä alle 0 ja ilmoita asiakkaalle"
"Backorders","Jälkitoimitukset"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","Prosentilla"
"Decrease Stock When Order is Placed","Vähennä varastosta kun tilaus on tehty"
"Enable Qty Increments","Ota porrastetut määrät käyttöön"
"In Stock","Varastossa"
"Inventory","Varasto"
"Manage Stock","Varastonhallinta"
"Maximum Qty Allowed in Shopping Cart","Sallittu enimmäismäärä ostoskorissa"
"Minimum Qty","Vähimmäismäärä"
"Minimum Qty Allowed in Shopping Cart","Pienin sallittu määrä ostoskorissa"
"No Backorders","Ei jälkitoimituksia"
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Only X left Threshold","""Vain X jäljellä"" kynnysarvo"
"Out of Stock","Ei varastossa"
"Product Name","Tuotenimi"
"Product Stock Options","Tuotteiden varastoasetukset"
"Qty","Määrä"
"Qty Increments","Määräporras"
"Rule price","Säännön hinta"
"Set Items' Status to be In Stock When Order is Cancelled","Palauta tuote varastoon, jos tilaus perutaan"
"Stock Options","Varaston asetukset"
"Stock Status","Varastotilanne"
"The requested quantity for ""%s"" is not available.","Valitsemaasi tuotetta ""%s"" ei ole saatavilla."
"This product is currently out of stock.","Tuote on tällä hetkellä loppu varastosta."
"To Fixed Value","Kiinteään arvoon"
"To Percentage","Prosenttiin asti"
"Update","Päivitä"
"Update the Product","Päivitä tuote"
