"Action","Toiminto"
"Add New Block","Lisää uusi lohko"
"Add New Page","Lisää uusi sivu"
"All Countries","Kaikki maat"
"Block","Lohko"
"Block Information","Lohkon tiedot"
"Block Title","Lohkon otsikko"
"CMS","Sisällönhallinta"
"CMS Home Page","CMS Kotisivu"
"CMS Page","Sisältösivu"
"CMS Static Block","Sisältösivun staattinen lohko"
"Collapse All","Sulje kaikki"
"Content","Sisältö"
"Content Heading","Sisällön otsikko"
"Content Management","Sisällön hallinta"
"Contents of a Static Block","Staattisen lohkon sisältö"
"Custom Design","Muokattu ulkoasu"
"Custom Theme","Muokattu teema"
"Customer Tax Class Information","Asiakkaan veroluokan tiedot"
"Date Created","Luotu"
"Delete Block","Poista lohko"
"Delete File","Poista tiedosto"
"Delete Folder","Poista kansio"
"Delete Page","Poista sivu"
"Description","Kuvaus"
"Design","Ulkoasu"
"Disabled","Ei käytössä"
"Disabled Completely","Kokonaan pois käytöstä"
"Disabled by Default","Oletusarvoisesti pois käytöstä"
"Edit Block","Muokkaa lohkoa"
"Edit Block '%s'","Muokkaa sisältölohkoja '%s'"
"Edit Page","Muokkaa sivua"
"Edit Page '%s'","Muokkaa sivua '%s'"
"Enabled","Käytössä"
"Enabled by Default","Käytössä oletuksena"
"Expand All","Laajenna kaikki"
"General Information","Yleistä"
"Go to Home Page","Siirry etusivulle"
"Home","Etusivu"
"ID","Tunnus"
"Identifier","Tunniste"
"If empty, the Page Title will be used","Jos tyhjä, käytetään sivun otsikkoa"
"Insert File","Lisää tiedosto"
"Keywords","Avainsanat"
"Last Modified","Viimeisin muokkaus"
"Layout","Asettelu"
"Layout Update XML","Sommitelun päivitys XML"
"Manage Pages","Hallitse sivuja"
"Media Gallery","Mediagalleria"
"Meta Data","Metatiedot"
"Meta Description","Metakuvaus"
"Meta Keywords","Meta avainsanat"
"New Block","Uusi lohko"
"New Page","Uusi sivu"
"Page Information","Sivun tiedot"
"Page Status","Sivun tila"
"Page Title","Sivun otsikko"
"Pages","Sivut"
"Product Tax Class Information","Tuotteen veroluokkatiedot"
"Save Block","Tallenna sisältölohko"
"Save Page","Tallenna sivu"
"Select Block...","Valitse lohko..."
"Select Page...","Valitse sivu..."
"Static Blocks","Staattiset lohkot"
"Status","Tila"
"Store View","Kauppanäkymä"
"Template","Malli"
"The page has been deleted.","Sivu on poistettu."
"This block no longer exists.","Tätä lohkoa ei ole enää olemassa."
"This page no longer exists.","Tätä sivua ei enää ole olemassa."
"Title","Otsikko"
"URL Key","URL-osoite"
