"Currency","Valuutta"
"Manage Currency Rates","Hallitse valuuttakursseja"
"Rates","Valuuttakurssit"
"Save Currency Symbols","Tallenna valuuttasymbolit"
"System","Järjestelmä"
"Use Standard","Käytä standardia"
