"-- Please Select --","-- 選択してください --"
"Attribute Code","属性コード"
"Attribute Label","属性ラベル"
"Begin data validation","データ検証開始"
"CSV","CSVファイル"
"Cannot get autoincrement value","オートインクリメント値を取得できません"
"Check Data","データチェック"
"Customers","顧客"
"Delete Entities","エンティティ削除"
"Destination file is not writable","保存先ファイルに書き込み権限がありません"
"Entity Type","エンティティタイプ"
"Entity is unknown","エンティティが不明です"
"Export","エクスポート"
"Export File Format","エクスポートファイルフォーマット"
"Export Settings","エクスポート設定"
"File is valid! To start import process press ""Import"" button","ファイルは正常です。インポートを開始するには ""インポート"" ボタンをクリックしてください。"
"Filter","フィルタ"
"From","開始"
"Import","インポート"
"Import Behavior","インポートの動作"
"Import Settings","インポート設定"
"Import/Export","インポート/エクスポート"
"No valid data sent","有効なデータが送信されていません"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","エラーを修正してファイルをアップロードしなおし、""インポート""をクリックしてください"
"Products","商品"
"Select File to Import","インポートするファイルを選択"
"Status","ステータス"
"There are no product types available for export","エクスポートできる商品種別がありません"
"To","終了"
"Unknown attribute filter type","不明な属性フィルタタイプ"
