"%1$s incl tax.","%1$s 税込"
"* Required Fields","* 必須項目"
"-- Select --","--選択してください--"
"Add New Option","オプションの追加"
"Add Selection","選択候補の追加"
"As Low as","同じかそれ以下"
"As low as","同じかそれ以下"
"Bundle Items","セット商品"
"Bundle Product","セット商品"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s お買い上げごとに %2$s (税込み %3$s) "
"Buy %1$s for %2$s each","%1$s お買い上げごとに %2$s"
"Buy %1$s with %2$s discount each","%1$s 個お買い上げいただくと1個につき %2$s お得"
"Checkbox","チェックボックス"
"Choose a selection...","選択してください..."
"Click for price","クリックして価格を表示"
"Close","閉じる"
"Default","標準"
"Default Qty","標準個数"
"Default Title","標準タイトル"
"Drop-down","ドロップダウン"
"Dynamic","動的"
"Excl. Tax","税抜"
"Fixed","固定"
"From","開始"
"From:","開始:"
"Gift Message","ギフトメッセージ"
"Incl. Tax","税込"
"Input Type","入力形式"
"Is Required","必須"
"Message:","メッセージ:"
"Multiple Select","複数選択"
"N/A","該当無し"
"No options of this product are available.","利用可能なオプションがありません。"
"None","なし"
"Percent","パーセント"
"Percent Discount","割引率"
"Please Select Products to Add","追加する商品を選択してください"
"Please enter a number greater 0 in this field.","0以上の数字を入力してください。"
"Please enter search conditions to view products.","商品を表示させるための検索条件を指定してください。"
"Please select options for product.","商品のオプションを選択してください。"
"Please specify product option(s).","商品オプションを指定してください。"
"Position","おすすめ"
"Price Range","価格範囲"
"Price Type","価格タイプ"
"Price as configured","環境設定価格"
"Qty:","個数:"
"Radio Buttons","ラジオボタン"
"SKU","商品番号"
"Separately","別々"
"Ship Bundle Items","セット商品の配送方法"
"Shipment","配送"
"Store View Title","店舗名"
"This product is also part of bundle(s)","この商品もセットの一部です"
"To","終了"
"To:","終了:"
"Together","まとめて"
"Use Default Value","標準の値を使用"
"User Defined Qty","ユーザー定義個数"
"and","と"
"each","それぞれ"
"save","お値引き"
