"-- Please Select --","-- 選択してください --"
"Add New Class","新規区分の追加"
"Add New Tax Rate","新規税率の追加"
"Add New Tax Rule","新規税算出の追加"
"After Discount","値引き後"
"Apply Customer Tax","小計に対する課税方法"
"Apply Discount On Prices","価格に値引きを適用する"
"Apply Tax On","税を適用する価格"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Back","戻る"
"Before Discount","値引き前"
"CSV","CSVファイル"
"Calculation Settings","計算設定"
"Catalog Prices","カタログ価格"
"Class Name","区分名"
"Code","コード"
"Country","国"
"Custom price if available","利用できればカスタム価格"
"Customer Tax Class","顧客課税区分"
"Customer Tax Class Information","顧客課税区分情報"
"Customer Tax Classes","顧客税区分"
"Default Country","標準の国"
"Default Post Code","標準の郵便番号"
"Default State","標準の都道府県"
"Default Tax Destination Calculation","標準税計算対象地域"
"Delete Class","区分の削除"
"Delete Rate","レートの削除"
"Delete Rule","ルールの削除"
"Display Full Tax Summary","課税額合計を表示する"
"Display Prices","価格表示"
"Display Product Prices In Catalog","カタログに価格を表示する"
"Display Shipping Amount","配送料を表示"
"Display Shipping Prices","配送料を表示"
"Display Subtotal","小計を表示する"
"Display Zero Tax Subtotal","税の小計にゼロを表示"
"Edit Class","区分編集"
"Edit Class '%s'","区分'%s'編集"
"Edit Rule","ルールの編集"
"Edit Tax Rate","税率の編集"
"Enable Cross Border Trade","越境取引課税計算を有効にする"
"Excel XML","Excel形式XML"
"Excl. Tax","税抜"
"Excluding Tax","税別"
"Export Tax Rates","税率のエクスポート"
"Grand Total (Excl. Tax)","合計 (税抜)"
"Grand Total (Excl.Tax)","合計 (税抜)"
"Grand Total (Incl. Tax)","合計 (税込)"
"Grand Total (Incl.Tax)","合計 (税込)"
"Grand Total Excl. Tax","税抜合計"
"Grand Total Incl. Tax","税込合計"
"Import / Export Tax Rates","税率のインポート / エクスポート"
"Import Tax Rates","税率のインポート"
"Inc. Tax","税込"
"Incl. Tax","税込"
"Including Tax","税込"
"Including and Excluding Tax","税込と税抜"
"Invalid file format upload attempt","不正なファイルフォーマットがアップロードされました。"
"Invalid file upload attempt","不正なファイルがアップロードされました"
"Manage Customer Tax Classes","顧客の税区分を管理"
"Manage Product Tax Classes","商品の税区分を管理"
"Manage Tax Rates","税率管理"
"Manage Tax Rules","課税方法管理"
"Manage Tax Zones & Rates","Manage Tax Zones &amp; Rates"
"Name","名前"
"New Class","新しい区分"
"New Rule","新しいルール"
"New Tax Rate","新規税率"
"No","いいえ"
"None","なし"
"One of the country has invalid code.","国コードのうちのひとつが不正です。"
"Orders, Invoices, Credit Memos Display Settings","注文, 請求, クレジットメモ表示設定"
"Original price only","オリジナル価格のみ"
"Price Display Settings","価格表示設定"
"Priority","優先度"
"Product Tax Class","商品税区分"
"Product Tax Class Information","商品税区分情報"
"Product Tax Classes","商品税区分"
"Range From","開始"
"Range To","終了"
"Range To should be equal or greater than Range From.","範囲の終了値は開始値より大きい値でなければいけません。"
"Rate","レート"
"Rate Percent","税率"
"Reset","リセット"
"Row Total","行合計"
"Sales","セールス"
"Save Class","区分の保存"
"Save Rate","レートの保存"
"Save Rule","ルールの保存"
"Save and Continue Edit","保存して編集を続ける"
"Shipping & Handling (Excl.Tax)","配送料金 (税抜)"
"Shipping & Handling (Incl.Tax)","配送料金 (税込)"
"Shipping (Excl. Tax)","配送料 (税抜)"
"Shipping (Incl. Tax)","配送料 (税込)"
"Shipping Prices","配送料金"
"Shopping Cart Display Settings","ショッピングカート表示設定"
"Sort Order","表示順"
"State","都道府県"
"State/Region","都道府県"
"Subtotal (Excl. Tax)","小計 (税抜)"
"Subtotal (Excl.Tax)","小計 (税抜)"
"Subtotal (Incl. Tax)","小計 (税込)"
"Subtotal (Incl.Tax)","小計 (税込)"
"Tax","税"
"Tax Calculation Based On","税計算基準"
"Tax Calculation Method Based On","税計算方法の基準"
"Tax Class for Shipping","配送の税区分"
"Tax Classes","税区分"
"Tax Identifier","税識別子"
"Tax Rate","税率"
"Tax Rate Information","税率情報"
"Tax Rule Information","税率情報"
"Tax Rules","税ルール"
"Tax Section","税セクション"
"Tax Titles","税タイトル"
"Tax rates at the same priority are added, others are compounded.","同じ優先度の税率は加算されます。その他のものはまとめられます。"
"The tax rate has been imported.","税率を取り込みました。"
"The tax rule has been deleted.","課税ルールを削除しました。"
"This class no longer exists","この区分は存在しません"
"This rule no longer exists","ルールはありません。"
"This rule no longer exists.","このルールは存在していません。"
"Total","合計"
"Unit Price","ユニット価格"
"Yes","はい"
"You cannot delete this tax class as it is used for %d customer groups.","%dの顧客グループに使用しているため、この税区分を削除できません。"
"You cannot delete this tax class as it is used for %d products.","%dの商品に使用されているため、この税区分を削除できません"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","この税区分は税ルールで使用されているため削除できませんでした。まず使用されているルールを削除してください。"
"Zip/Post Code","郵便番号"
"Zip/Post is Range","郵便番号の範囲"
