"* Required Fields","* 必須項目"
"Admin","管理者"
"Authorize","権限"
"Callback URL","コールバックURL"
"Cleanup Probability","クリーンアップ頻度"
"Cleanup Settings","クリーンアップ設定"
"Close","閉じる"
"Created At","作成日"
"Customer","顧客"
"Delete","削除"
"Disable","無効"
"Disabled","無効"
"Edit","編集"
"Email","Eメール"
"Email Address","メールアドレス"
"Enable","有効"
"Enabled","有効"
"Expiration Period","有効期限"
"Invalid Callback URL","不正なコールバックURL"
"Invalid Rejected Callback URL","不正な除外されたコールバックURL"
"Key","キー"
"Log In","ログイン"
"Login","ログイン"
"Name","名前"
"Password","パスワード"
"Permissions","権限"
"Role Name","権限名"
"Save","保存"
"Save and Continue Edit","保存して編集を続ける"
"Status","ステータス"
"System","システム"
"User ID","ユーザーID"
"User Name","ユーザ名"
"deleted","削除済"
