"Add","追加"
"Allow Gift Messages for Order Items","注文商品ごとにギフトメッセージを許可する"
"Allow Gift Messages on Order Level","注文ごとにギフトメッセージを許可する"
"Are you sure?","よろしいですか？"
"Cancel","キャンセル"
"Do you have any gift items in your order?","ギフトにする商品がありますか？"
"Edit","編集"
"From","開始"
"Gift Message","ギフトメッセージ"
"Gift Options","ギフトオプション"
"Gift Options for Individual Items","個別商品に対するギフトオプション"
"Item %d of %d","%d個中%dの商品"
"Message","メッセージ"
"No","いいえ"
"Save Gift Message","ギフトメッセージ"
"To","終了"
"Unknown entity type","不明なエンティティタイプ"
"Use config","設定を使用する"
"Yes","はい"
