"Add Recipient","新規受け取り先の追加"
"Allow for Guests","ゲストに許可する"
"Back","戻る"
"Email Address","メールアドレス"
"Email Address:","メールアドレス:"
"Email Templates","メールテンプレート"
"Email to a Friend","友達にメールを送る"
"Email:","メール:"
"Enabled","有効"
"Invalid Sender Information","不正な送信者情報です。"
"Limit Sending By","送信制限"
"Max Products Sent in 1 Hour","1時間あたりの最大送信件数"
"Max Recipients","最大受信者数"
"Maximum %d email addresses allowed.","最大%d件のメールアドレスを許可する"
"Message:","メッセージ:"
"Name","名前"
"Name:","名前:"
"Recipient:","受信者:"
"Remove Email","メールの削除"
"Select Email Template","メールテンプレートを選択"
"Send Email","メール送信"
"Send product to a friend","友達に商品を送る"
"Sender:","送信者:"
"Some emails were not sent.","何件かのメールが送信できませんでした。"
"The link to a friend was sent.","リンクを友達に送信しました。"
