"API Login ID","APIログインID"
"Accepted Currency","支払可能通貨"
"Authorize Only","認証のみ"
"Authorize and Capture","認証と取込"
"Cancel","キャンセル"
"Credit Card Types","クレジットカード種別"
"Credit Card Verification","カード確認番号"
"Debug","デバッグ"
"Email Customer","顧客メールアドレス"
"Enabled","有効"
"Invalid amount for authorization.","認証に不正な額"
"Invalid amount for capture.","取込のための無効な額"
"Invalid amount for refund.","返金のための無効な額"
"Maximum Order Total","注文合計最大値"
"Merchant's Email","マーチャントメールアドレス"
"Minimum Order Total","注文合計最小値"
"New Order Status","新規注文ステータス"
"Payment Action","決済アクション"
"Payment authorization error.","支払い認証エラー"
"Payment capturing error.","支払い取込エラー"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Payment refunding error.","支払い返金エラー"
"Payment voiding error.","支払い無効エラー"
"Sort Order","表示順"
"Test Mode","テストモード"
"Title","タイトル"
"Transaction Key","トランザクションキー"
"authorize","承認"
"authorize and capture","承認と取込"
"capture","取込"
"failed","失敗"
"refund","返金"
"successful","成功"
"void","無効"
