"--Please Select--","--選択してください--"
"API Login ID","APIログインID"
"Accepted Currency","支払可能通貨"
"Authorize.net Direct Post","Authorize.net ダイレクトポスト"
"Card Verification Number","セキュリティコード"
"Card Verification Number Visual Reference","カード確認番号の参考画像"
"Close","閉じる"
"Credit Card Information","クレジットカード番号"
"Credit Card Number","クレジットカード番号"
"Credit Card Type","クレジットカード会社"
"Credit Card Types","クレジットカード種別"
"Credit Card Verification","カード確認番号"
"Debug","デバッグ"
"Email Customer","顧客メールアドレス"
"Enabled","有効"
"Expiration Date","有効期限日"
"Gateway URL","ゲートウェイURL"
"Maximum Order Total","注文合計最大値"
"Merchant MD5","マーチャントMD5"
"Merchant's Email","マーチャントメールアドレス"
"Minimum Order Total","注文合計最小値"
"New Order Status","新規注文ステータス"
"Order saving error: %s","注文の保存エラー: %s"
"Payment Action","決済アクション"
"Payment authorization error.","支払い認証エラー"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Sort Order","表示順"
"Test Mode","テストモード"
"There was an error processing your order. Please contact us or try again later.","ご注文の処理中にエラーが発生しました。やり直してください。"
"Title","タイトル"
"Transaction Key","トランザクションキー"
"What is this?","これは何ですか？"
