"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">リンク</a>"
"Done","完了"
"Less than a minute","一分以内"
"Memory Used: %s","メモリ使用量: %s"
"Processed records: %s","処理済みレコード: %s"
"Sheet 1","シート1"
"Starting %s :: %s","開始 %s :: %s"
"Total records: %s","合計レコード: %s"
"hour","時間"
"hours","時間"
"minute","分"
"minutes","分"
