"%s and greater","%s とそれ以上"
"Advanced Search","詳細検索"
"All","Default Category"
"Catalog Advanced Search","詳細な検索"
"Catalog Search","商品検索"
"Don't see what you're looking for?","お探しの商品が見つかりませんか？"
"Go","次へ"
"Go to Home Page","ホームページへ"
"Grid","表"
"Home","ホーム"
"List","リスト"
"Maximum Query Length","最大クエリ文字数"
"Maximum Query Words Count","最大クエリ文字数カウント"
"Minimal Query Length","最少クエリ文字数"
"Modify your search","検索を修正"
"No","いいえ"
"No items were found using the following search criteria.","No items were found 次の検索基準を満たしているアイテムは見つかりませんでした。"
"Popular Search Terms","人気の検索語句"
"Rebuild Catalog product fulltext search index","商品全文検索インデックス"
"Relevance","関係性"
"Results","結果"
"Search","検索"
"Search Settings","検索条件"
"Search Terms","検索ワード"
"Search Type","検索タイプ"
"Search entire store here...","ストア全体から検索...."
"Search results for '%s'","'%s'の検索結果"
"Search results for: '%s'","'%s'の検索結果"
"Subscribe to Feed","フィードを購読"
"There are no search terms available.","利用できる検索キーワードがありません"
"Yes","はい"
"Your search returns no results.","検索結果はありません。"
"up to %s","最大で %s"
