"# of Uses","# 使用"
"Action","アクション"
"Add","追加"
"Add New Tag","新規タグの追加"
"Add Tags","タグの追加"
"Add Your Tags:","タグに追加する:"
"Add to Cart","カートに入れる"
"Add to Wishlist","欲しい物リストに追加"
"All Tags","全てのタグ"
"Approved","受付済"
"Are you sure you want to delete this tag?","このタグを削除してもいいですか？"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Are you sure?","よろしいですか？"
"Back","戻る"
"Back to Tags List","タグリストに戻る"
"Block Information","ブロック情報"
"CSV","CSVファイル"
"Change status","ステータス変更"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。"
"Country","国"
"Customer Since","顧客作成日"
"Customers","顧客"
"Customers Tagged '%s'","'%s'タグ付けされた顧客"
"Delete","削除"
"Delete Tag","タグの削除"
"Disabled","無効"
"Edit Tag '%s'","'%s'タグを編集"
"Email","Eメール"
"First Name","名"
"General Information","全般情報"
"Grid","表"
"Last Name","姓"
"List","リスト"
"My Recent Tags","最近のタグ"
"My Tags","タグ一覧"
"Name","名前"
"New Tag","新規タグ"
"No matches found.","一致するものが見つかりません。"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:"
"Pending","処理待ち"
"Pending Tags","審査中のタグ"
"Popular","人気"
"Popular Tags","ポピュラーなタグ"
"Price","価格"
"Product Name","商品名"
"Product SKU","商品SKU"
"Product Tags","商品タグ"
"Products","商品"
"Products Tagged with '%s'","'%s'タグ付けされた商品"
"Products tagged with '%s'","'%s' タグ付けされた商品"
"Remove","削除"
"SKU","商品番号"
"Save Tag","保存"
"Save and Continue Edit","保存して編集を続ける"
"Status","ステータス"
"Store View","ストアビュー"
"Tag","タグ"
"Tag Name","タグ名"
"Tags","タグ"
"Tags:","タグ:"
"Telephone","電話番号"
"Unable to find any products tagged with '%s' in the current store","現在のストアで'%s'とタグ付けされた商品はありません"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。"
"Update","更新"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切るには空白を使って下さい。タグがフレーズの場合は、「'」で囲って下さい。"
"View All Tags","全てのタグを見る"
"View Customers","顧客を見る"
"View Products","商品を見る"
"You have not tagged any products yet.","タグ付けした商品はありません"
"ZIP/Post Code","郵便番号"
"[STORE VIEW]","[ストアビュー]"
