"All Websites","すべてのウェブサイト"
"Display Prices In Emails","メールに額を記載する"
"Display Prices In Product Lists","商品一覧にFPT額を表示する"
"Display Prices In Sales Modules","SalesモジュールでFPT額を表示する"
"Display Prices On Product View Page","商品画面でFPT額を表示する"
"Enable FPT","FPTを有効にする"
"Excluding FPT","商品定額税を除外する"
"Fixed Product Tax","商品固定税"
"Fixed Product Taxes","商品固定税"
"Include FPT In Subtotal","小計にFPTを含める"
"Including FPT and FPT description","FPT込とFPT概要"
"Including FPT only","FPT込価格のみ"
"Total","合計"
"Total Incl. Tax","税含む合計"
"Total incl. tax","合計（税込）"
"Total:","合計:"
