"Add Recipient","Bæta við móttakanda"
"Allow for Guests","Leyfa gestum"
"Back","Til baka"
"Email:","Rafpóstur:"
"Name","Nafn"
"Recipient:","Móttakandi:"
"Remove Email","Fjarlægja netfang"
"Send product to a friend","Senda vöru á vin"
"Sender:","Sendandi:"
