"Are you sure?","Ertu viss?"
"Mark as Read","Merkja sem lesið"
"Message","Skilaboð"
"Messages Inbox","Innhólf skilaboða"
"Notifications","Tilkynningar"
"Please select messages.","Vinsamlega veldu skilaboð."
"Read Details","Lesa smáatriði"
"Remove","Fjarlægja"
"Wrong message type","Röng gerð skilaboða"
"critical","Alvarlegt"
"major","meiriháttar"
"minor","minniháttar"
"notice","tilkynning"
