"%s Item(s)","% hlutur(ir)"
"A name is required","Nafn er nauðsynlegt"
"ALL GROUPS","ALLIR HÓPAR"
"Action","Aðgerð"
"Add","Bæta við"
"Add Attribute","Bæta við eiginleika"
"Add Group","Bæta við hópi"
"Add New","Bæta nýjum við"
"Add New Attribute","Bæta nýjum eiginleika við"
"Add New Attribute Set","Bæta nýju eiginleikasetti við"
"Add New Group","Bæta nýjum hópi við"
"Add to Cart","Setja í körfu"
"Add to Compare","Bæta í Bera saman"
"Add to Wishlist","Bæta við óskalista"
"Additional Information","Nánari upplýsingar"
"All","Allt"
"All Product Types","Allar vörutegundir"
"Allowed File Extensions","Leyfilegar skráartegundir"
"Allowed file extensions to upload","Leyfilegar skráartegundir"
"Are you sure?","Ertu viss?"
"Back","Til baka"
"Cancel","Hætta við"
"Clear All","Hreinsa allt"
"Details","Ítarupplýsingar"
"Email","Rafpóstur"
"First Name","Fornafn"
"ID","Auðkenni"
"Last Name","Eftirnafn"
"Name","Nafn"
"New Search","Ný leit"
"Next","Áfram"
"No","Nei"
"None","Ekkert"
"OR","eða"
"Options","Valmöguleikar"
"Out of Stock","Uppselt"
"Out of stock","Uppselt"
"Previous","Fyrri"
"Price","Verð"
"Product","Vara"
"Product Description","Nákvæm vörulýsing"
"Qty","Magn"
"Quantity","Magn"
"Quick Overview","Stutt lýsing"
"Regular Price:","Verð áður:"
"Remove","Fjarlægja"
"Remove This Item","Fjarlægja þetta atriði"
"Search","Leita"
"Search Query","Leitarorð"
"Shopping Options","Verslunarvalmöguleikar"
"Special Price:","Tilboð:"
"Status","Staða"
"Yes","Já"
