"Close","Loka"
"Configure","Stilla"
"Country","Land"
"Custom","Sérsniðið"
"Discount","Afsláttur"
"Help","Hjálp"
"Login","Innskráning"
"No","Nei"
"Password","Aðgangsorð"
"Payment Method","Greiðsluaðferð"
"Price","Verð"
"Product","Vara"
"Qty","Magn"
"Submitting order information...","Sendi inn pöntun..."
"Yes","Já"
