"Contact Us","Hafa samband við okkur"
"Email","Rafpóstur"
"Name","Nafn"
"Submit","Senda"
"Unable to submit your request. Please, try again later","Ekki var hægt að senda fyrirspurn þína... reyndu aftur seinna"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Fyrirspurn þín hefur verið send og verður svarað eins fljótt og auðið er. Takk fyrir að hafa samband."
