"Discount","Afsláttur"
"Discount (%s)","Afsláttur (%s)"
"Get Feed","Skoða Straum"
"Miscellaneous Feeds","RSS Straumar"
"New Products from %s","Nýjar vörur frá %s"
"Shipping &amp; Handling","Sendingarkostnaður"
