"All","Allt"
"No","Nei"
"Search","Leita"
"Search Terms","Leitarorð"
"Search results for '%s'","Leitarniðurstöður fyrir '%s'"
"Search results for: '%s'","Leitarniðurstöður fyrir: '%s'"
"Yes","Já"
