"Action","操作"
"Add New Block","增加新方框"
"Add New Page","增加新頁面"
"All Countries","所有國家"
"Block Information","區塊資訊"
"Block Title","方框標題"
"CMS","CMS "
"CMS Home Page","CMS首頁"
"CMS No Route Page","CMS缺失頁面"
"Content","內容"
"Custom Design","自訂設計"
"Custom Theme","自定義主題"
"Customer Tax Class Information","自定義稅率信息"
"Date Created","創建日期"
"Delete Block","刪除方框"
"Delete Page","刪除頁面"
"Description","描述"
"Design","設計"
"Disabled","停用"
"Edit Block","修改方框"
"Edit Block '%s'","修改方框'%s' "
"Edit Page","修改頁面"
"Edit Page '%s'","修改頁面'%s' "
"Enabled","啟用"
"Expand All","全部展開"
"General Information","基本信息"
"Go to Home Page","回到首頁"
"Home","首頁"
"ID","編號"
"Identifier","標識符"
"Keywords","關鍵字"
"Last Modified","最後修改"
"Layout","版面"
"Layout Update XML","版面更新XML "
"Manage Pages","管理頁面"
"Meta Data","Meta數據"
"Meta Description","Meta描述"
"Meta Keywords","Meta關鍵字"
"New Block","新方框"
"New Page","新頁面"
"Page Information","頁面信息"
"Page Status","頁面狀態"
"Page Title","頁面標題"
"Product Tax Class Information","商品稅率信息"
"Save Block","保存方框"
"Save Page","保存頁面"
"Static Blocks","固定方框"
"Status","狀態"
"Store View","店面"
"Template","範本"
"Title","標題"
