"--Please Select--","-請選擇-"
"API Login ID","API 的登入識別碼"
"Accepted Currency","接受的貨幣"
"Authorize.net Direct Post","Authorize.net 直接付款"
"Card Verification Number","信用卡驗證號碼"
"Card Verification Number Visual Reference","卡驗證碼視覺參考"
"Close","關閉"
"Credit Card Information","信用卡資訊"
"Credit Card Number","信用卡卡號"
"Credit Card Type","信用卡類型"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Debug","除錯"
"Email Customer","電郵客戶"
"Enabled","啟用"
"Expiration Date","到期日期"
"Gateway URL","閘道網址"
"Maximum Order Total","最大訂單總計"
"Merchant MD5","商戶 MD5"
"Merchant's Email","商戶的電子郵件"
"Minimum Order Total","最小訂單總數"
"New Order Status","新訂單狀態"
"Order saving error: %s","保存訂單出錯：%s "
"Payment Action","付款操作"
"Payment authorization error.","支付授權錯誤。 "
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Sort Order","訂單排序"
"Test Mode","測試模式"
"Title","標題"
"Transaction Key","交易金鑰"
"What is this?","這是什麽？"
