"Action","操作"
"Are you sure you want to delete the selected backup(s)?","確實要刪除所選的備份嗎？"
"Backups","備份"
"Create Backup","創建備份"
"Database","資料庫"
"Database Backup","資料庫備份"
"Database and Media","資料庫和媒體"
"Database and Media Backup","資料庫和媒體備份"
"Download","下載"
"Enable Scheduled Backup","啟用預設備份"
"Frequency","頻率"
"Maintenance Mode","維護模式"
"Name","名稱"
"Rollback","還原"
"Start Time","開始時間"
"System","系統"
"System (excluding Media)","系統 （不含媒體）"
"System Backup","系統備份"
"Time","時間"
"Type","類別"
