"-- Please Select --","-- 請選擇 --"
"Add to Cart","加到購物車"
"Choose an Option...","選擇選項... "
"Enabled","啟用"
"General Settings","一般設定"
"In Stock","有庫存"
"Out of Stock","缺貨"
"Previous","上一頁"
"Remove This Item","移除此物品"
