"API Login ID","API 的登入識別碼"
"Accepted Currency","接受的貨幣"
"Authorize Only","僅授權"
"Authorize and Capture","授權和提取"
"Authorize.net","Authorize.net "
"Cancel","取消"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Debug","除錯"
"Email Customer","電郵客戶"
"Enabled","啟用"
"Invalid amount for authorization.","授權金額不正確。 "
"Invalid amount for capture.","提取的金額無效。"
"Invalid amount for refund.","退款金額無效。"
"Maximum Order Total","最大訂單總計"
"Merchant's Email","商戶的電子郵件"
"Minimum Order Total","最小訂單總數"
"New Order Status","新訂單狀態"
"Payment Action","付款操作"
"Payment authorization error.","支付授權錯誤。 "
"Payment capturing error.","提取付款時出現錯誤。"
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Payment refunding error.","退款錯誤"
"Payment voiding error.","支付無效"
"Sort Order","訂單排序"
"Test Mode","測試模式"
"Title","標題"
"Transaction Key","交易金鑰"
"authorize","授權"
"authorize and capture","授權和提取"
"capture","提取"
"failed","失敗"
"refund","退款"
"successful","成功。"
"void","無效"
