"-- Please Select --","-- 請選擇 --"
"Attribute Code","屬性代碼"
"Attribute Label","屬性標籤"
"CSV","CSV "
"Customers","顧客"
"Entity Type","實體類型"
"Export","匯出"
"Export Settings","匯出設置"
"From","由"
"Import","匯入"
"Import/Export","導入/導出"
"Products","產品"
"Status","狀態"
"There are no product types available for export","無產品類型可輸出"
"To","至"
