"-- Please Select --","-- 請選擇 --"
"Add New Class","增加新稅種"
"Add New Tax Rate","增加新稅率"
"Add New Tax Rule","增加新稅則"
"Are you sure you want to do this?","你確定你想要這樣做？"
"Back","上一步"
"CSV","CSV "
"Class Name","稅種名稱"
"Code","代號"
"Country","國家"
"Customer Tax Class Information","自定義稅率信息"
"Customer Tax Classes","客戶稅種"
"Default Country","預設國家"
"Delete Class","刪除稅種"
"Delete Rate","刪除稅率"
"Delete Rule","刪除規則"
"Edit Class","修改稅率"
"Edit Class '%s'","修改稅種'%s' "
"Edit Rule","編輯規則"
"Edit Tax Rate","修改稅率"
"Excl. Tax","不含稅"
"Export Tax Rates","導出稅率"
"Import / Export Tax Rates","導入/導出稅率"
"Import Tax Rates","導入稅率"
"Inc. Tax","含稅"
"Incl. Tax","含稅"
"Invalid file format upload attempt","上傳文件格式不正確"
"Invalid file upload attempt","上傳文件不正確"
"Product Tax Classes","商品稅種"
"Tax Rules","稅則"
"Name","名稱"
"New Class","新稅種"
"New Rule","新規則"
"New Tax Rate","新稅率"
"No","否"
"None","無"
"Priority","優先級"
"Product Tax Class Information","商品稅率信息"
"Reset","重置"
"Row Total","總行數"
"Save Class","保存稅種"
"Save Rate","保存稅率"
"Save Rule","保存規則"
"Save and Continue Edit","保存並繼續編輯"
"Sort Order","訂單排序"
"State","省份"
"State/Region","省份/地區"
"Tax","稅金"
"Tax Rate","稅率"
"Tax Rate Information","稅率信息"
"Tax Rule Information","稅則信息"
"This class no longer exists","該類已不存在"
"This rule no longer exists","該規則不存在"
"This rule no longer exists.","此規則不再存在。"
"Total","總計"
"Unit Price","單價"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","該稅種用於%d客戶組，不能刪除. "
"You cannot delete this tax class as it is used for %d products.","該稅種用於%d商品，不能刪除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","該稅種用於稅則中，不能刪除，要先刪除使用它的稅則。 "
"Zip/Post Code","郵政編碼"
