"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">鏈接</a> "
"Done","完成"
"ETA: %s","ETA: %s "
"Less than a minute","少於1分鐘"
"Memory Used: %s","使用內存：%s "
"Processed records: %s","處理記錄：%s "
"Sheet 1","Sheet 1 "
"Starting %s :: %s","開始%s :: %s "
"Total records: %s","總記錄：%s"
"hour","小時"
"hours","小時"
"minute","分鐘"
"minutes","分鐘"
