"%s and greater","%s及更大"
"Advanced Search","進階搜尋"
"All","全部"
"Catalog Advanced Search","分類高級搜索"
"Go to Home Page","回到首頁"
"Grid","格狀"
"Home","首頁"
"List","列表"
"No","否"
"Popular Search Terms","熱門搜索關鍵詞"
"Results","結果"
"Search","搜尋"
"Search Settings","搜索設置"
"Search Terms","搜索關鍵詞"
"Search entire store here...","Search entire store here... "
"Search results for '%s'","%s'的搜索結果"
"Search results for: '%s'","搜索結果: '%s' "
"Subscribe to Feed","訂閱Feed "
"There are no search terms available.","沒有需要搜索的關鍵詞。 "
"Yes","是"
"Your search returns no results.","沒有搜索到任何結果。 "
"up to %s","最多%s "
