"* Select shipping method","*選擇配送方式"
"2Day","2天"
"AVS Status: %s","AVS狀態：%s "
"Amount: %s","金額：%s "
"Auto-generated from GoogleCheckout Charge","從GoogleCheckout收費自動生成"
"CC Partial: xxxx-%s","部分信用卡號碼: xxxx-%s "
"CID Status: %s","CID狀態： %s "
"Cart Discount","購物車折扣"
"Checkout Image Style","結帳圖片格式"
"Continue Shopping URL","繼續購物網址"
"Debug","除錯"
"Default price:","缺省價格： "
"Enable","啟用"
"Expiration: %s","有效期：%s "
"Express Mail","Express Mail "
"Express Saver","Express Saver "
"FedEx","FedEx "
"Financial: %s -> %s","財務：%s -> %s "
"First Overnight","First Overnight "
"Fulfillment: %s -> %s","實際：%s -> %s "
"Google API","Google API "
"Google Authorization:","Google授權： "
"Google Charge:","Google收費: "
"Google Checkout","Google Checkout "
"Google Checkout Shipping - Carrier Calculated","Google Checkout配送-快遞計算"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate "
"Google Checkout Shipping - Merchant Calculated","Google Checkout配送-商家計算"
"Google Checkout: %s","Google Checkout：%s "
"Google Order Number: %s","Google訂單號：%s "
"Google Refund:","Google Refund: "
"Google Risk Information:","Google風險評估信息： "
"Ground","Ground "
"Home Delivery","Home Delivery "
"IP Address: %s","IP地址：%s "
"Inches","英吋"
"Latest Charge: %s","最近付款：%s "
"Latest Refund: %s","最近退款：%s "
"Location","位置"
"Media Mail","Media Mail "
"Merchant ID","商戶 ID"
"Merchant Key","商戶密鑰"
"New Order Status","新訂單狀態"
"No","否"
"Optional, leave empty for home page.","可選，留空為首頁。 "
"Parcel Post","Parcel Post "
"Priority Mail","Priority Mail "
"Priority Overnight","Priority Overnight "
"Sandbox","Sandbox "
"Standard Overnight","Standard Overnight "
"Title","標題"
"Total Charged: %s","總付款：%s "
"Total Refunded: %s","總退款：%s"
"UPS","UPS "
"USPS","USPS "
"Yes","是"
