"Continue &raquo;","繼續&raquo; "
"Country","國家"
"Country and Format Type combination should be unique","國家和格式類型組合必須唯一"
"Currency","貨幣"
"Currency Options","貨幣選項"
"Currency Setup","貨幣設置"
"Currency Update Warnings","貨幣更新警告"
"Enabled","啟用"
"Error Email Recipient","錯誤郵件的收件人"
"Error Email Sender","錯誤郵件的發件人"
"Error Email Template","錯誤郵件的模板"
"FATAL ERROR:","致命錯誤： "
"Frequency","頻率"
"Installed Currencies","已安裝貨幣"
"Invalid country code: %s","國家代碼不正確：%s "
"Invalid rates received","接收的匯率不正確"
"Scheduled Import Settings","定期導入設置"
"Select Your Currency","選擇貨幣"
"Service","服務"
"Start Time","開始時間"
"State/Province","州/省"
"WARNING:","警告： "
"Your current currency is: %s","您當前貨幣是：%s "
