"Actions","動作"
"Are you sure?","是否確認?"
"Date Added","新增日期"
"Last Update","最後更新"
"Mark as Read","已讀"
"Message","訊息"
"Messages Inbox","收件匣訊息"
"Notifications","通知"
"Please select messages.","請選擇訊息。"
"Read Details","詳細資料"
"Remove","移除"
"Severity","嚴重程度"
"Show List","顯示清單"
"Show Toolbar","顯示工具列"
"The message has been removed.","該訊息已被刪除。"
"Update Frequency","更新頻率"
"Use HTTPS to Get Feed","使用 HTTPS 獲取資料"
"Wrong message type","錯誤訊息類型"
"critical","關鍵"
"major","主要"
"minor","次要"
"notice","通知"
