"-- Please Select --","-- 請選擇 --"
"Actions","動作"
"All","全部"
"All Product Types","所有商品類型"
"Apply","套用"
"Big Image","大圖像"
"CMS","CMS "
"Categories","分類"
"Close","關閉"
"Continue","繼續"
"Delete","刪除"
"Export to:","匯出至 "
"Frontend Properties","前台屬性"
"Images","圖片"
"Next page","下一頁"
"Open Chooser","打開選擇"
"Page","頁面"
"Previous page","上一頁"
"Products","產品"
"Save and Continue Edit","保存並繼續編輯"
"Select All","全選"
"Select Visible","選擇可見"
"Settings","設定"
"Sort Order","訂單排序"
"Template","範本"
"The information in this tab has been changed.","此選項卡中的資訊已更改。"
"This tab contains invalid data. Please solve the problem before saving.","該欄目有不正確的數據，請檢查後再保存。 "
"Thumbnail","縮圖"
"Total %d records found","共有%d個記錄"
"Type","類別"
"Unselect All","全部取消選擇"
"Unselect Visible","取消選擇可見"
"View","每頁"
"items selected","件商品已選擇"
"of %s pages","共%s頁"
"per page","每頁"
