"Add Recipient","增加收件人"
"Allow for Guests","允許訪客"
"Back","上一步"
"Email Address","電子郵件地址"
"Email Address:","電子郵件： "
"Email:","電子郵件： "
"Enabled","啟用"
"Limit Sending By","限制發送"
"Max Products Sent in 1 Hour","1小時內最多發送的商品數"
"Max Recipients","最多收件人"
"Maximum %d email addresses allowed.","最多允許%d個郵件地址。 "
"Message:","訊息： "
"Name","名稱"
"Name:","姓名: "
"Recipient:","收件人："
"Remove Email","刪除郵件"
"Send product to a friend","發送商品給朋友"
"Sender:","發件人: "
