"Base URL","기본 URL"
"Configuration","환경설정"
"Confirm Password","비밀번호 확인"
"Continue","계속"
"Database","데이터베이스"
"Download","다운로드"
"Email","이메일 주소"
"Email Address","이메일 주소"
"Enable Charts","차트 활성화"
"First Name","이름"
"Host","호스트"
"Last Name","성"
"Locale","언어"
"Login Information","로그인 정보"
"Magento","마젠토"
"Password","비밀번호"
"Password Confirmation","비밀번호 확인"
"Personal Information","개인 정보"
"Required Fields","필수 항목"
"Secure Base URL","보안 기본 URL"
"User Name","사용자 이름"
"User Password","비밀번호"
"Username","사용자 이름"
"You're All Set","설정 완료"
