"-- Please select --","--선택하세요--"
"Allowed Currencies","허용 통화"
"Base Currency","기본 통화"
"Connection Timeout in Seconds","연결 제한 시간(초)"
"Country","국가"
"Currency","통화"
"Currency Options","통화 옵션"
"Currency Setup","통화 설정"
"Default Display Currency","기본 표시 통화"
"Enabled","활성화"
"Error Email Recipient","에러 이메일 받는 사람"
"Error Email Sender","에러 메일 전송자"
"Error Email Template","에러 이메일 템플릿"
"Frequency","빈도"
"Service","서비스"
"Start Time","시작 시간"
"State/Province","시/도"
"WARNING:","경고:"
"Your current currency is: %s","귀하의 현재 환율은  %입니다."
