"Advanced Search","고급 검색"
"All","모두"
"Catalog Advanced Search","카탈로그 고급 검색"
"Catalog Search","상품 검색"
"Don't see what you're looking for?","찾으시는 상품이 아닙니까?"
"Go to Home Page","홈페이지 가기 "
"Grid","그리드"
"Home","홈 "
"List","리스트"
"Maximum Query Length","최대 검색어"
"Minimal Query Length","최소 검색어"
"No","아니오"
"Popular Search Terms","인기있는 검색어"
"Relevance","연관성"
"Results","결과"
"Search","검색"
"Search Settings","검색 설정"
"Search entire store here...","검색"
"There are no search terms available.","가용한 검색 조건이 없습니다."
"Yes","네"
"up to %s","최대 %까지"
