"Actions","동작"
"Active","활성화"
"Add New Rule","신규 규칙 추가"
"Apply","적용"
"Catalog","카탈로그"
"Conditions","조건"
"Coupon Code","쿠폰 코드"
"Coupon Qty","쿠폰 수량"
"Customer Groups","고객 그룹"
"Default Label","기본 라벨"
"Description","상세 설명"
"Discount Amount","할인 금액"
"Edit Rule","규칙 수정"
"Fixed amount discount","고정 비용 할인"
"Fixed amount discount for whole cart","전체 장바구니에 대한 고정 금액 할인"
"Free Shipping","무료 배송"
"General Information","일반 정보"
"Generate","생성"
"Inactive","비활성화"
"Maximum Qty Discount is Applied To","최대 수량 할인 적용"
"New Rule","신규 규칙"
"No","아니오"
"Payment Method","결제방법"
"Priority","우선순위"
"Promotions","프로모션"
"Rule Information","규칙 정보"
"Rule Name","규칙 이름"
"Rule is not defined","규칙이 정의되어 있지 않습니다."
"Save and Continue Edit","저장하고 계속 편집하기"
"Shipping Country","배송 국가"
"Shipping Method","배송 방법"
"Shipping Postcode","배송지 우편번호"
"Shipping State/Province","배송 시/도"
"Special Price","특별 가격"
"Status","상태"
"Subtotal","소계"
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"Total","총합계"
"Total Weight","총 중량"
"Update the Product","상품 업데이트"
"Website","웹사이트"
"Websites","웹사이트"
"Yes","네"
