"%s Item(s)","%s 아이템(들)"
"* Required Fields","* 필수 항목"
"-- Please Select --","--선택하세요--"
"A group with the same name already exists.","동일한 이름의 그룹이 이미 존재합니다."
"ALL GROUPS","모든 그룹 "
"Action","동작"
"Actual Price","실제 가격"
"Add","추가"
"Add Attribute","어트리뷰트 추가"
"Add Design Change","디자인 변경 추가"
"Add Group","그룹 추가"
"Add New","신규 추가"
"Add New Attribute","신규 어트리뷰트 추가"
"Add New Attribute Set","신규 어트리뷰트 세트 추가"
"Add New Group","신규 그룹 추가"
"Add New Images","신규 이미지 추가"
"Add New Option","신규 옵션 추가"
"Add New Row","신규 열 추가"
"Add New Search Term","신규 검색어 추가"
"Add Product","상품 추가"
"Add Product To Websites","웹사이트에 상품 추가"
"Add Root Category","최상위 카테고리 추가"
"Add Subcategory","하위 카테고리 추가"
"Add Tax","세금 추가"
"Add to Cart","장바구니에 추가"
"Add to Compare","비교하기에 추가"
"Add to Wishlist","위시리스트에 추가"
"All","모두"
"All Product Types","모든 상품 타입"
"All Websites","모든 웹사이트 "
"All products","모든 상품"
"All products - recently added products, New products - products marked as new","모든 상품 - 최근 등록된 상품, 신규 상품 - 신규로 지정된 상품"
"Allow All Products per Page","헌페이지에서 모든 상품 보기 허용"
"Amount","금액"
"Are you sure?","확실합니까?"
"Attribute Information","어트리뷰트 정보"
"Attribute Set","어트리뷰트 세트"
"Attribute Sets","어트리뷰트 세트"
"Attributes","어트리뷰트"
"Availability:","재고상태:"
"Back","이전"
"Backorders","백오더"
"Best Value","베스트 밸류"
"Bottom/Left","하단/좌측"
"Bottom/Right","하단/우측"
"Bundle Items","번들 아이템"
"Cache Lifetime (Seconds)","캐시 활성시간 (초)"
"Cancel","취소"
"Catalog","카탈로그"
"Catalog Category Link","카탈로그 카테고리 링크"
"Catalog New Products List","카타로그 신규 상품 리스트"
"Catalog Price Scope","가격 적용범위"
"Catalog Product Link","카탈로그 상품 링크"
"Catalog, Search","카탈로그, 검색"
"Categories","분류"
"Category","카테고리"
"Category Products","카테고리 상품"
"Category Top Navigation","카테고리 탑 내비게이션"
"Category URL Suffix","카테고리 URL 접미사"
"Center","중앙"
"Change","변경"
"Change status","상태 변경"
"Choose an Option...","옵션을 선택 하십시오..."
"Clear All","모두 지우기"
"Click for price","클릭하여 가격확인"
"Close Window","창 닫기"
"Collapse All","모두 접기"
"Comma-separated.","콤마 구분."
"Compare","비교"
