"Action","동작"
"Add","추가"
"Add to Cart","장바구니에 추가"
"Add to Wishlist","위시리스트에 추가"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Are you sure?","확실합니까?"
"Back","이전"
"Block Information","블럭 정보"
"Change status","상태 변경"
"Country","국가"
"Customer Since","가입일"
"Customers","고객"
"Delete","삭제"
"Disabled","비활성화"
"Email","이메일 주소"
"First Name","이름"
"General Information","일반 정보"
"Grid","그리드"
"Last Name","성"
"List","리스트"
"Name","이름 "
"Pending","보류 중"
"Price","가격"
"Product Name","상품명"
"Products","상품"
"Remove","삭제"
"Save and Continue Edit","저장하고 계속 편집하기"
"Status","상태"
"Store View","스토어뷰"
"Tags","태그"
"Update","확인"
"[STORE VIEW]","[스토어뷰]"
