"--Please Select--","--선택해 주십시오--"
"API Login ID","API 로그인 ID"
"Accepted Currency","허용된 통화"
"Card Verification Number","카드 인증 번호"
"Close","닫기"
"Credit Card Information","신용카드 정보"
"Credit Card Number","신용카드 번호"
"Credit Card Type","신용카드 타입"
"Credit Card Types","신용카드 타입"
"Credit Card Verification","신용카드 확인"
"Debug","디버그"
"Email Customer","이메일 고객"
"Enabled","활성화"
"Expiration Date","유효기간"
"Gateway URL","게이트웨이 URL"
"Maximum Order Total","최대 주문 합계"
"Merchant's Email","Merchant 이메일"
"Minimum Order Total","최소 주문 합계"
"New Order Status","새 주문 진행상태"
"Payment Action","결제 방법"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Sort Order","정렬 순서"
"Test Mode","테스트 모드"
"Title","타이틀"
"Transaction Key","트랜잭션 키"
"What is this?","이게 뭐죠?"
