"API Login ID","API 로그인 ID"
"Accepted Currency","허용된 통화"
"Authorize Only","인증만"
"Authorize and Capture","인증과 캡쳐"
"Cancel","취소"
"Credit Card Types","신용카드 타입"
"Credit Card Verification","신용카드 확인"
"Debug","디버그"
"Email Customer","이메일 고객"
"Enabled","활성화"
"Invalid amount for capture.","잘못된 캡쳐 금액입니다."
"Invalid amount for refund.","잘못된 환불 금액."
"Maximum Order Total","최대 주문 합계"
"Merchant's Email","Merchant 이메일"
"Minimum Order Total","최소 주문 합계"
"New Order Status","새 주문 진행상태"
"Payment Action","결제 방법"
"Payment capturing error.","결제 캡쳐 오류."
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Payment refunding error.","결제 환불 에러."
"Payment voiding error.","결제 무효 에러."
"Sort Order","정렬 순서"
"Test Mode","테스트 모드"
"Title","타이틀"
"Transaction Key","트랜잭션 키"
"authorize","인증"
"capture","캡처"
"failed","실패"
"refund","환불"
"successful","성공"
"void","무효"
