"All Websites","모든 웹사이트 "
"Display Prices In Emails","이메일의 가격 표시"
"Display Prices In Product Lists","상품 리스트의 상품 가격 표시"
"Display Prices On Product View Page","상품 상세 페이지의 상품 가격 표시"
"Enable FPT","FPT 활성화"
"Excluding FPT","FPT 제외"
"Fixed Product Tax","고정 제품 세금(FPT)"
"Fixed Product Taxes","고정 제품 세금(FPT)"
"Including FPT and FPT description","FPT와 설명 포함"
"Including FPT only","FPT만 포함"
"Total","총합계"
"Total:","합계:"
