"Action","동작"
"Delete","삭제"
"Description","상세 설명"
"Disable","비활성"
"Enable","활성"
"General","일반"
"No","아니오"
"Processing","결제 완료"
"Refresh","새로고침"
"Status","상태"
"System","시스템"
"Yes","네"
