"-- Please Select --","--선택하세요--"
"Actions","동작"
"Add Layout Update","레이아웃 업데이트 추가"
"All","모두"
"All Pages","모든 페이지"
"All Product Types","모든 상품 타입"
"Anchor Categories","Anchor 카테고리"
"Apply","적용"
"Assign to Store Views","스토어뷰에 할당"
"Big Image","큰 이미지"
"Categories","분류"
"Choose...","선택..."
"Close","닫기"
"Continue","계속"
"Delete","삭제"
"Export to:","다음으로 내보내기"
"Images","이미지"
"Insert Widget","위젯 삽입"
"Layout Updates","레이아웃 업데이트"
"Manage Widget Instances","위젯 인스턴스 관리"
"New Widget Instance","신규 위젯 인스턴스"
"Next page","다음 페이지"
"Non-Anchor Categories","Non-Anchor 카테고리"
"Page","페이지"
"Previous page","이전 페이지"
"Products","상품"
"Remove Layout Update","레이아웃 업데이트 삭제"
"Save and Continue Edit","저장하고 계속 편집하기"
"Select All","모두 선택"
"Select Visible","보이는 항목 선택"
"Settings","설정"
"Sort Order","정렬 순서"
"Specified Page","지정된 페이지"
"Template","템플릿"
"The information in this tab has been changed.","이 탭의 정보가 변경 되었습니다."
"The widget instance has been deleted.","위젯 인스턴스가 삭제되었습니다."
"The widget instance has been saved.","위젯 인스턴스가 저장되었습니다."
"Thumbnail","썸네일"
"Type","타입"
"Unselect All","모두 선택취소"
"Unselect Visible","보이는 항목 해제"
"View","보기"
"Widget","위젯"
"Widget ID","위젯 ID"
"Widget Insertion","위젯 삽입"
"Widget Options","위젯 옵션"
"Widget Type","위젯 타입"
"Widgets","위젯"
"per page","페이지 당"
