"-- Please Select --","--선택하세요--"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Back","이전"
"Code","코드"
"Country","국가"
"Customer Tax Class","고객 세금 유형"
"Customer Tax Classes","고객 세금 유형"
"Default Country","기본 국가"
"Default Post Code","기본 우편번호"
"Delete Rule","규칙 삭제"
"Display Prices","가격 표시"
"Display Product Prices In Catalog","카탈로그의 제품 가격 표시"
"Display Shipping Amount","배송비 표시"
"Display Shipping Prices","배송비 표시"
"Edit Rule","규칙 수정"
"Excl. Tax","세금 제외"
"Excluding Tax","세금 비포함"
"Inc. Tax","세금 포함"
"Incl. Tax","세금 포함"
"Including Tax","세금 포함"
"Name","이름 "
"New Rule","신규 규칙"
"No","아니오"
"None","없음"
"Price Display Settings","가격 표시 설정"
"Priority","우선순위"
"Product Tax Class","제품 세금 유형"
"Reset","초기화"
"Row Total","행 합계"
"Sales","판매"
"Save Rule","규칙 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Shipping & Handling (Excl.Tax)","배송료 (부가세 제외)"
"Shipping & Handling (Incl.Tax)","배송료 (부가세 포함)"
"Shipping (Excl. Tax)","배송료 (부가세 제외)"
"Shipping (Incl. Tax)","배송료 (부가세 포함)"
"Shopping Cart Display Settings","장바구니 표시 설정"
"Sort Order","정렬 순서"
"Subtotal (Excl. Tax)","소계 (부가세 제외)"
"Subtotal (Excl.Tax)","소계 (부가세 제외)"
"Subtotal (Incl. Tax)","소계 (부가세 포함)"
"Subtotal (Incl.Tax)","소계 (부가세 포함)"
"Tax","세금"
"Tax Class for Shipping","배송에 대한 세금 유형"
"Tax Classes","세금 유형"
"Tax Rules","세금 규칙"
"The tax rule has been deleted.","세금 규칙이 삭제되었습니다."
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"Total","총합계"
"Unit Price","단가"
"Yes","네"
"Zip/Post Code","우편번호"
