"Add Minimum Qty","최소 수량 추가"
"Allow Qty Below 0","0 이하의 수량을 허용"
"Allow Qty Below 0 and Notify Customer","0 이하의 수량을 허용하고 고객에게 통보"
"Backorders","백오더"
"Decrease Stock When Order is Placed","주문시 재고수량 감소"
"Display Out of Stock Products","품절 상품 표시"
"Enable Qty Increments","수량 증가 사용"
"In Stock","재고 있음"
"Manage Stock","재고 관리"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Minimum Qty","최소 수량"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"No Backorders","주문지연 없음"
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Out of Stock","품절"
"Product Name","상품명"
"Product Stock Options","상품 재고 옵션"
"Qty","수량"
"Qty Increments","수량 증가"
"Set Items' Status to be In Stock When Order is Cancelled","주문 캔슬시 품절상태 취소"
"Stock Options","재고 옵션"
"Stock Status","재고 상태"
"Update","확인"
"Update the Product","상품 업데이트"
