"Action","동작"
"Add Sitemap","사이트맵 추가"
"Always","항상"
"CMS Pages Options","CMS 페이지 옵션"
"Categories Options","카테고리 옵션"
"Edit Sitemap","사이트맵 수정"
"Enabled","활성화"
"Error Email Recipient","에러 이메일 받는 사람"
"Error Email Sender","에러 메일 전송자"
"Error Email Template","에러 이메일 템플릿"
"Filename","파일명"
"Frequency","빈도"
"Generate","생성"
"New Sitemap","신규 사이트맵"
"Path","경로"
"Priority","우선순위"
"Products Options","상품 옵션"
"Sitemap","사이트맵"
"Sitemap generate Warnings","사이트맵 생성 경고"
"Start Time","시작 시간"
"Store View","스토어뷰"
"The priority must be between 0 and 1.","우선순위는 반드시 0과 1사이의 숫자이여야 합니다."
"This sitemap no longer exists.","사이트맵이 더이상 존재하지 않습니다."
"Weekly","매주"
"Yearly","매년"
