"Actions","동작"
"Active","활성화"
"Add New Rule","신규 규칙 추가"
"Apply","적용"
"Apply Rules","규칙 적용"
"Attribute Set","어트리뷰트 세트"
"Catalog","카탈로그"
"Catalog Price Rule","카탈로그 가격 규칙"
"Catalog Price Rules","카탈로그 가격 규칙"
"Category","카테고리"
"Conditions","조건"
"Conditions Combination","조건 조합"
"Customer Groups","고객 그룹"
"Date From","시작 날짜"
"Date To","종료 날짜"
"Description","상세 설명"
"Discount Amount","할인 금액"
"Edit Rule","규칙 수정"
"Expiration Date","유효기간"
"General Information","일반 정보"
"Inactive","비활성화"
"New Rule","신규 규칙"
"No","아니오"
"Options","옵션"
"Priority","우선순위"
"Product Attribute","상품 어트리뷰트"
"Promotions","프로모션"
"Rule Information","규칙 정보"
"Rule Name","규칙 이름"
"Save and Apply","저장하고 적용"
"Save and Continue Edit","저장하고 계속 편집하기"
"Start Date","시작 날짜"
"Status","상태"
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"Type","타입"
"Website","웹사이트"
"Websites","웹사이트"
"Yes","네"
