"Action","동작"
"Are you sure you want to delete the selected backup(s)?","선택한 백업을 정말 삭제하시겠습니까?"
"Backups","백업"
"Create Backup","백업 생성"
"Database","데이터베이스"
"Database Backup","데이터베이스 백업"
"Database and Media","데이터베이스와 미디어"
"Database and Media Backup","데이터베이스와 미디어 백업"
"Download","다운로드"
"Enable Scheduled Backup","스케쥴 백업 활성화"
"Frequency","빈도"
"Maintenance Mode","유지보수 모드"
"Name","이름 "
"Rollback","롤백"
"Start Time","시작 시간"
"System","시스템"
"System (excluding Media)","시스템 (미디어 제외)"
"System Backup","시스템 백업"
"Time","시간"
"Type","타입"
