"Add","추가"
"Admin","관리자"
"Attribute Set","어트리뷰트 세트"
"Attributes","어트리뷰트"
"Back","이전"
"Backorders","백오더"
"Base Currency","기본 통화"
"Catalog","카탈로그"
"City","시/군 "
"Company","회사"
"Country","국가"
"Coupon Code","쿠폰 코드"
"Customer","고객"
"Customer First Name","고객 이름"
"Customer Last Name","고객 성"
"Delete","삭제"
"Discount","할인"
"Discount Amount","할인 금액"
"Edit","수정"
"Email","이메일 주소"
"Enable Qty Increments","수량 증가 사용"
"Exclude","제외"
"First Name","이름"
"Gift Message","선물 메시지"
"Grand Total","합계"
"Group","그룹"
"Guest","비회원"
"Label","라벨"
"Last Name","성"
"Manage Stock","재고 관리"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Order","주문"
"Order Comments","주문 코멘트"
"Order Date","주문일"
"Order ID","주문 ID"
"Order Status","주문 진행상태"
"Orders","주문"
"Payment Method","결제방법"
"Phone Number","전화 번호"
"Position","기본"
"Price","가격"
"Product","상품"
"Qty","수량"
"Qty Increments","수량 증가"
"Qty Uses Decimals","수량에 소수점 사용"
"Save","저장"
"Shipping Amount","배송 금액"
"Shipping Method","배송 방법"
"Stock Availability","재고상태"
"Stock Status","재고 상태"
"Store Name","스토어 이름"
"Subtotal","소계"
"System","시스템"
"Tax Amount","세액"
"Tax Percent","세율"
"Type","타입"
"Update","확인"
"ZIP/Postal Code","우편번호"
