"ALL","TODOS"
"ANY","CUALQUIERA"
"Add","Añadir"
"Apply","Aplicar"
"Conditions Combination","Condiciones Combinación"
"FALSE","FALSO"
"If %s of these conditions are %s:","Si %s de éstas condiciones son %s:"
"Invalid discount amount.","Importe del descuento no es válido."
"Open Chooser","Abrir Selector"
"Perform following actions","Ejecute las siguientes acciones"
"Please choose a condition to add...","Por favor"
"Please choose an action to add...","Por favor escoja una acción a añadir..."
"Remove","Remover"
"TRUE","VERDADERO"
"by","por"
"contains","contiene"
"does not contain","no contiene"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menor que"
