"-- Please select --","Elegir"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","Pais y Tipo de Combinación en Formato debe ser único"
"Currency","Divisa"
"Currency Options","Opciones de Moneda"
"Currency Setup","Configuración de Moneda"
"Currency Update Warnings","Advertencias de Actualización de Moneda"
"Directory","Directorio"
"Enabled","Habilitado"
"Error Email Recipient","Error en Destinatario de Correo Electronico"
"Error Email Sender","Error en Remitente de Correo Electronico"
"Error Email Template","Error en Plantilla de Correo Electronico"
"FATAL ERROR:","ERROR FATAL:"
"Frequency","Frequencia"
"Installed Currencies","Monedas Instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Tasas recibidas inválida"
"List of countries","Lista de paises"
"List of regions in specified country","Lista de las regiones en el país especificado"
"Region","Regiones"
"Scheduled Import Settings","Configuración de importación programadas"
"Select Your Currency","Seleccione su Moneda"
"Service","Servicios"
"Start Time","Hora de inicio"
"State/Province","Estado/Provincia"
"Strikeiron Email Update Warnings","StrikeIron Correo Electronico Actualiza Advertencias"
"WARNING:","ADVERTENCIA:"
"Your current currency is: %s","Su moneda actual es: %s"
