"%1$s incl tax.","%1$s incl impuesto."
"* Required Fields","* Campos Obligatorios"
"Add New Option","Añadir Nueva Opción"
"Add Selection","Añadir Selección"
"As low as","Tan bajo como"
"Bundle Items","Agrupar artículos"
"Bundle Product","Paquete de Productos"
"Buy %1$s for %2$s","Compra %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s por %2$s (%3$s incl. impuesto) c/u"
"Buy %1$s for %2$s each","Compra %1$s por %2$s c/u"
"Buy %1$s with %2$s discount each","Compre %1$s con el %2$s de descuento c/u"
"Choose a selection...","Escoja una selección..."
"Close","Cerrar"
"Default","Defecto"
"Default Qty","Cant por Defecto"
"Default Title","Título por Defecto"
"Dynamic","Dinámico"
"Fixed","corregido"
"From","De"
"From:","De:"
"Gift Message","Mensaje del Regalo"
"Input Type","Tipo de ingreso"
"Is Required","Es Obligatorio"
"Message:","Mensaje:"
"Multiple Select","Seleccion Multiple"
"N/A","N/D"
"No options of this product are available.","No hay opciones disponibles para este producto"
"None","Ninguno"
"Percent Discount","Porcentaje de Descuento"
"Please enter search conditions to view products.","Por favor ingrese condiciones de búsqueda para ver productos."
"Please select options for product.","Por favor seleccione opciones para el producto."
"Position","Posición"
"Price Range","Rango de Precios"
"Price Type","Tipo de Precios"
"Price as configured","Precio configurado"
"Qty:","Cant:"
"Separately","Separadamente"
"Ship Bundle Items","Comprar Paquete de Artículos"
"Shipment","Despacho"
"Store View Title","Título de Vista de Tienda"
"This product is also part of bundle(s)","Este producto es parte de un paquete"
"To","a"
"To:","A:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total incl. impuesto: %1$s"
"User Defined Qty","Cant. Definida por el Usuario"
"and","y"
"each","cada"
"save","guardar"
