"Action","Acción"
"Add Sitemap","Añadir Mapa del Sitio"
"Always","Siempre"
"CMS Pages Options","Opciones de Página CMS"
"Categories Options","Opciones de Categorías"
"Daily","Diariamente"
"Edit Sitemap","Editar Mapa del Sitio"
"Enabled","Habilitado"
"Error Email Recipient","Error en Destinatario de Correo Electronico"
"Error Email Sender","Error en Remitente de Correo Electronico"
"Error Email Template","Error en Plantilla de Correo Electronico"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El archivo ""%s"" no se puede guardar. Asegúrese que el directorio ""%s"" tiene permisos de escrituta para el servidor web."
"Filename","Nombre de Archivo"
"Frequency","Frequencia"
"Generate","Generar"
"Generation Settings","Configuraciones de la Generación"
"Hourly","Cada Hora"
"Last Time Generated","Última Hora de Creación"
"Link for Google","Enlace para Google"
"Monthly","Mensualmente"
"New Sitemap","Nuevo Mapa del Sitio"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor crear la carpeta especificada ""%s"" antes de guardar el Mapa del Sitio."
"Please define correct path","Por favor defina la ruta correcta"
"Please make sure that ""%s"" is writable by web-server.","asegúrese que ""%s"" tiene permisos de escritura para el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usar solamente letras (a-z or A-Z), números (0-9) o guión bajo (_) en el nombre de archivo. No se permiten espacios u otros caracteres."
"Priority","Prioridad"
"Products Options","Opciones de Productos"
"Sitemap","Mapa del sitio"
"Sitemap generate Warnings","Mapa del Sitio generado Advertencia"
"Start Time","Hora de inicio"
"Weekly","Semanalmente"
"Yearly","Anualmente"
