"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Done","Hecho"
"Less than a minute","Menos de un minuto"
"Memory Used: %s","Memoria Usada: %s"
"Processed records: %s","Procesando registros: %s"
"Sheet 1","Hoja 1"
"Starting %s :: %s","Iniciando %s :: %s"
"Total records: %s","Total de registros: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
