"Abandoned carts","Carros Abandonados"
"Action","Acción"
"Add to Cart","Añadir al Carro"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de deseos"
"Any","Cualquiera"
"Applied Coupon","Aplicar cupón"
"Are you sure?","¿Está usted seguro?"
"Bestsellers","Más vendidos"
"Bought from wishlists","Comprado desde Listados"
"CSV","csv"
"Carts","Carros"
"Coupons","Cupones"
"Created At","Creado el"
"Customer","Cliente"
"Customer Tags","Etiquetas del Cliente"
"Customers","Clientes"
"Customers Report","Reporte de Clientes"
"Customers Reviews","Clientes Comentarios"
"Customers Tags","Etiquetas de  Clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tienen Listados: %s%"
"Dashboard","Panel"
"Day","Día"
"Description","Descripción"
"Detail","Detalle"
"Downloads","Descargas"
"Email","Correo"
"First Name","Nombre"
"From","De"
"Guest","Invitado"
"Hits","Visitas"
"IP Address","Dirección IP"
"Invoiced","Facturado"
"Items in Cart","Artículos en Carro"
"Last Name","Apellido"
"Last Review","Última Revisión"
"Link","Enlace"
"Low stock","Poca Existencia"
"Month","Mes"
"Most Viewed","Más Vistos"
"Name","Nombre"
"Number Added","Número de Adiciiones"
"Number Fulfilled","Número de Cumplidos"
"Number Of Reviews","Número de Revisiones"
"Number Purchased","Número de Comprados"
"Number Viewed","Número de Vistos"
"Number of Items","Número de Artículos"
"Number of New Accounts","Número de Nuevas Cuentas"
"Number of Reviews","Número de Revisiones"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas únicas"
"Number of Views","Número de vistas"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde un Listado: %s"
"Number of times wishlists have been shared (emailed): %s","Número de veces que un listado ha sido compartido (enviado por correo): %s"
"Number of wishlist conversions: %s","Número de conversiones de Listados: %s"
"Number of wishlist referrals: %s","Números de referentes de Listados: %s"
"Number of wishlists: %s","Número de Listados: %s"
"Order Status","Estado del Pedido"
"Orders","Pedidos"
"Out of stock","Sin existencia"
"Poducts Report","Reporte de Poductos"
"Popular Tags","Etiquetas más Populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios del Producto"
"Product Tags","Etiquetas del Producto"
"Products","Productos"
"Products Report","Reporte de Productos"
"Products Reviews","Comentarios de Productos"
"Products Tags","Etiquetas de Productos"
"Products in carts","Productos en Carros"
"Purchases","Compras"
"Quantity Ordered","Cantidad Pedida"
"Quantity of Items","Cantidad de Artículos"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed Products","Productos Vistos Recientemente"
"Recently Viewed/Compared Products","Vistos Recientemente/Productos Comparados"
"Reports","Reportes"
"Results","Resultados"
"Revenue","Ingreso"
"Review","Revisar"
"Reviews","Comentarios"
"Reviews for %s","Revisiones para %s"
"Sales Report","Reporte de ventas"
"Search Query","Buscar Resultados"
"Shipping","Envio"
"Shopping Cart","Carro de Compra"
"Show for Current","Mostrar para el actual"
"Stock Qty","Cantidad en Existencia"
"Submitted In","Envíado en"
"Submitted On","Envíado el"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalles de la Etiqueta ""%s"""
"Tag Detail","Detalle de la Etiqueta"
"Tag Name","Nombre de Etiqueta"
"Tags submitted to %s","Etiquetas envíadas a %s"
"Tax","Impuestos"
"Title","Titulo"
"To","a"
"Total Tags","Total de Etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total devuelto"
"Wishlist Report","Reporte de Lista"
"Wishlist vs. Regular Order","Listados vs. Pedidos Regulares"
"Wishlists","Listados"
"Yes","Si"
"Your Recently Compared","Sus comparaciones recientes"
"Your Recently Viewed","Sus visitas recientes"
