"%s and greater","%s y una mayor"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d articulos(s)</strong> han sido encontrados usando el siguiente criterio de búsqueda"
"Advanced Search","Búsqueda Avanzada"
"All","Todos"
"Catalog Advanced Search","Catálogo Búsqueda Avanzada"
"Catalog Search","Catálogo de Búsqueda"
"Don't see what you're looking for?","¿No encuentra lo que está buscando?"
"Go","Ir"
"Go to Home Page","Ir a Inicio"
"Grid","Rejilla"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud Máxima de Consultas"
"Maximum Query Words Count","Conteo Máximo de Palabras en la Consultas"
"Minimal Query Length","Longitud mínima de consultas"
"Modify your search","Modifique su búsqueda"
"No items were found using the following search criteria.","No se encontraron artículos utilizando los siguientes criterios de búsqueda."
"Popular Search Terms","Lo Más Buscado"
"Relevance","Relevante"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Opciones de Búsqueda"
"Search Type","Tipo de Busqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Buscar resultados para'%s'"
"Search results for: '%s'","Buscar resultados para: '%s'"
"Subscribe to Feed","Suscripción a Canal"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Yes","Si"
"Your search returns no results.","Su búsqueda no ha devuelto resultados."
