"Action","Acción"
"Add New Block","Añadir Nuevo Bloque"
"Add New Page","Añadir Nueva Página"
"Block Information","Información de bloque"
"Block Title","Titulo de Bloque"
"CMS Home Page","CMS Página de Inicio"
"CMS No Route Page","CMS No rutea a Página"
"Collapse All","Contraer Todo"
"Custom Design","Diseño Personalizado"
"Custom Theme","Tema Personalizado"
"Customer Tax Class Information","Información de Impuesto Clase Cliente"
"Date Created","Fecha de Creación"
"Delete Block","Eliminar Bloque"
"Delete Page","Eliminar Página"
"Description","Descripción"
"Design","Diseño"
"Disabled","Desabilitado"
"Edit Block","Editar Bloque"
"Edit Block '%s'","Editar Bloque '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enabled","Habilitado"
"Expand All","Expandir Todo"
"General Information","Información general"
"Go to Home Page","Ir a Inicio"
"Home","Inicio"
"New Block","Nuevo Bloque"
"New Page","Nueva Página"
"Page Information","Información de Página"
"Page Status","Estado de Página"
"Page Title","Titulo de Página"
"Product Tax Class Information","Información del Producto Clase de Impuesto"
"Save Block","Guardar Bloque"
"Save Page","Guardar Página"
"Static Blocks","Bloques Estaticos"
"Status","Estado"
"Title","Titulo"
